customerID,tenure,MonthlyCharges,Contract,total_services,churn_risk_score,health_score,upsell_opportunity
8701-DGLVH,51,20.45,Two year,0,0.19,73.2,Add Protection Bundle
7740-KKCXF,51,30.05,Month-to-month,1,0.24,73.2,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
8571-ZCMCX,47,60.0,Two year,5,6.44,73.2,Add Tech Support
8421-WZOOW,57,95.3,Month-to-month,4,0.48,73.2,Upgrade to Annual Contract
4878-BUNFV,42,20.7,Two year,0,0.18,73.1,Add Protection Bundle
6303-KFWSL,29,55.25,One year,1,0.26,73.1,Add Protection Bundle; Add Streaming Services
9112-WSNPU,35,70.55,Month-to-month,0,0.31,73.1,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
6959-GQEGV,45,75.95,Month-to-month,4,0.58,73.1,Upgrade to Annual Contract
5196-WPYOW,67,60.05,One year,3,0.91,73.1,Add Streaming Services
4526-EXKKN,40,24.6,Two year,0,4.03,73.1,Add Protection Bundle; Add Tech Support
4918-FYJNT,55,90.45,Month-to-month,3,0.5,73.1,Add Streaming Services; Upgrade to Annual Contract
4518-FZBSX,42,20.25,One year,0,0.21,73.1,Add Protection Bundle
7162-WPHPM,58,71.6,Two year,4,0.32,73.1,Add Streaming Services
6693-FRIRW,18,101.3,Month-to-month,4,0.84,73.0,Upgrade to Annual Contract
6174-NRBTZ,46,30.75,One year,1,0.34,73.0,Add Protection Bundle; Add Streaming Services
0440-EKDCF,62,60.15,Two year,3,0.2,73.0,Add Streaming Services
3450-WXOAT,46,45.2,Month-to-month,0,0.38,73.0,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
5146-CBVOE,16,75.1,Month-to-month,1,0.38,73.0,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
7901-IIDQV,24,54.6,One year,1,3.78,72.9,Add Protection Bundle; Add Streaming Services
5325-UWTWJ,31,90.55,Month-to-month,3,6.04,72.9,Add Streaming Services; Upgrade to Annual Contract
0916-KNFAJ,61,69.9,Two year,3,3.33,72.9,Add Tech Support
5630-IXDXV,47,106.35,Month-to-month,4,1.06,72.9,Upgrade to Annual Contract
9369-XFEHK,33,80.6,Month-to-month,1,14.86,72.9,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract; Add Tech Support
2545-LXYVJ,72,20.7,Two year,0,0.19,72.8,Add Protection Bundle
1177-XZBJL,53,64.15,One year,3,0.89,72.8,Add Streaming Services
0613-WUXUM,70,19.2,Two year,0,1.28,72.8,Add Protection Bundle; Add Tech Support
2957-JIRMN,62,84.45,One year,1,0.8,72.8,Add Protection Bundle
0027-KWYKW,23,83.75,Month-to-month,1,28.49,72.8,Add Protection Bundle; Upgrade to Annual Contract
2439-LYPMQ,38,102.6,Month-to-month,4,0.55,72.8,Upgrade to Annual Contract
3537-HPKQT,55,77.75,Month-to-month,1,19.16,72.8,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract; Add Tech Support
8400-WZICQ,55,55.7,Month-to-month,2,1.74,72.7,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
1810-MVMAI,30,67.6,Month-to-month,4,0.2,72.7,Add Streaming Services; Upgrade to Annual Contract
6349-JDHQP,53,19.85,Two year,0,0.29,72.7,Add Protection Bundle
1821-BUCWY,30,55.65,Two year,2,7.79,72.7,Add Protection Bundle; Add Streaming Services; Add Tech Support
5438-QMDDL,19,59.8,Month-to-month,2,0.24,72.7,Add Protection Bundle; Upgrade to Annual Contract
7114-AEOZE,60,19.85,Two year,0,0.22,72.7,Add Protection Bundle
7668-XCFYV,17,92.55,Month-to-month,2,1.44,72.7,Add Protection Bundle; Upgrade to Annual Contract
9053-EJUNL,41,89.2,Month-to-month,2,0.69,72.6,Add Protection Bundle; Upgrade to Annual Contract
2911-WDXMV,18,80.55,Month-to-month,1,17.91,72.6,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
5044-XDPYX,51,25.5,Two year,0,0.22,72.6,Add Protection Bundle
8882-TLVRW,69,39.1,Two year,3,0.13,72.6,Add Streaming Services
4993-JCRGJ,26,84.3,Month-to-month,2,3.97,72.6,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
0599-XNYDO,20,69.8,Month-to-month,0,1.17,72.6,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
6925-BAYGL,53,25.1,Two year,0,0.23,72.5,Add Protection Bundle
4091-TVOCN,48,78.75,One year,4,12.38,72.5,Add Tech Support
2606-PKWJB,40,40.25,One year,3,0.27,72.5,Add Streaming Services
8152-VETUR,72,97.7,Two year,3,2.08,72.5,Add Tech Support
8597-CWYHH,43,94.35,One year,2,5.05,72.5,Add Protection Bundle
8878-RYUKI,52,59.45,Month-to-month,2,8.21,72.4,Add Protection Bundle; Upgrade to Annual Contract
9114-VEPUF,62,96.1,One year,3,1.91,72.4,Add Tech Support
3719-TDVQB,54,18.95,Two year,0,0.33,72.4,Add Protection Bundle
8398-TBIYD,72,84.7,Two year,2,0.38,72.4,Add Protection Bundle; Add Streaming Services
9052-VKDUW,65,109.4,Month-to-month,5,6.88,72.4,Upgrade to Annual Contract; Add Tech Support
7729-XBTWX,66,19.75,Two year,0,0.2,72.3,Add Protection Bundle
4636-JGAAI,34,88.85,Month-to-month,2,15.65,72.3,Add Protection Bundle; Upgrade to Annual Contract; Add Tech Support
4361-FEBGN,48,20.15,Two year,0,0.19,72.3,Add Protection Bundle
9919-YLNNG,42,103.8,Month-to-month,5,17.97,72.3,Upgrade to Annual Contract
4747-LCAQL,25,79.0,Month-to-month,5,4.78,72.3,Upgrade to Annual Contract
7277-OZCGZ,22,89.05,Month-to-month,3,0.32,72.3,Upgrade to Annual Contract
7601-DHFWZ,48,24.0,Two year,0,0.24,72.3,Add Protection Bundle
2662-NNTDK,65,24.8,One year,0,0.18,72.3,Add Protection Bundle
6198-RTPMF,17,92.6,Month-to-month,2,1.64,72.3,Add Protection Bundle; Upgrade to Annual Contract
6851-WEFYX,35,100.8,Month-to-month,3,0.75,72.3,Upgrade to Annual Contract
9819-FBNSV,37,72.25,Month-to-month,0,0.66,72.3,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
6726-WEXXK,27,85.9,One year,2,11.46,72.2,Add Protection Bundle; Add Streaming Services; Add Tech Support
0042-RLHYP,69,19.7,Two year,0,0.77,72.2,Add Protection Bundle
4067-HLYQI,33,70.4,Month-to-month,0,22.06,72.2,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
6599-GZWCM,13,74.65,One year,1,9.77,72.2,Add Protection Bundle; Add Streaming Services
8751-EDEKA,28,89.9,Month-to-month,3,0.33,72.2,Upgrade to Annual Contract
9931-DCEZH,28,54.4,One year,2,2.47,72.2,Add Protection Bundle; Add Streaming Services
7427-AUFPY,54,19.65,Two year,0,1.11,72.1,Add Protection Bundle; Add Tech Support
7349-ALMUX,37,65.6,Two year,4,2.1,72.1,Add Streaming Services
7217-JYHOQ,24,70.3,Month-to-month,4,4.12,72.1,Upgrade to Annual Contract
4879-GZLFH,42,92.15,Month-to-month,3,0.39,72.1,Upgrade to Annual Contract
2038-YSEZE,29,67.45,Month-to-month,3,0.32,72.1,Add Streaming Services; Upgrade to Annual Contract
9584-EXCDZ,17,70.5,Month-to-month,0,17.54,72.1,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
3522-CDKHF,32,75.5,Month-to-month,1,0.37,72.1,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
1041-RXHRA,41,70.25,Month-to-month,0,15.51,72.1,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract; Add Tech Support
4939-KYYPY,27,59.45,Month-to-month,2,11.4,72.1,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
0513-RBGPE,37,62.8,Two year,3,3.74,72.1,Add Streaming Services
5666-MBJPT,65,25.1,Two year,0,1.49,72.1,Add Protection Bundle
9786-YWNHU,63,63.55,Two year,4,0.82,72.1,Add Streaming Services
1703-MGIAB,17,69.0,Month-to-month,3,0.25,72.1,Upgrade to Annual Contract
5935-FCCNB,17,94.2,Month-to-month,2,0.92,72.1,Add Protection Bundle; Upgrade to Annual Contract
3179-GBRWV,21,64.95,Month-to-month,3,0.31,72.0,Upgrade to Annual Contract
2418-TPEUN,56,19.8,Two year,0,0.21,72.0,Add Protection Bundle
1167-OYZJF,67,20.05,Two year,0,0.3,72.0,Add Protection Bundle
7661-CPURM,19,87.7,One year,2,8.39,71.9,Add Protection Bundle
6668-CNMFP,19,89.35,One year,2,8.03,71.9,Add Protection Bundle
6897-UUBNU,29,89.65,Month-to-month,3,0.35,71.9,Upgrade to Annual Contract
1818-ESQMW,27,89.2,Month-to-month,3,23.39,71.9,Upgrade to Annual Contract
8148-NLEGT,42,22.95,Two year,0,0.21,71.9,Add Protection Bundle
7228-PAQPD,14,59.1,One year,2,0.33,71.9,Add Protection Bundle
5647-FXOTP,60,105.9,Month-to-month,4,28.84,71.9,Upgrade to Annual Contract; Add Tech Support
7587-AOVVU,27,100.75,Month-to-month,4,0.86,71.9,Upgrade to Annual Contract
3173-WSSUE,71,19.7,Two year,0,0.14,71.9,Add Protection Bundle
8851-RAGOV,25,71.05,Month-to-month,4,0.35,71.9,Upgrade to Annual Contract
1468-DEFNC,64,24.4,Two year,0,0.36,71.8,Add Protection Bundle
2616-FLVQC,64,19.55,Two year,0,0.28,71.8,Add Protection Bundle
2155-AMQRX,28,54.9,Month-to-month,1,0.24,71.8,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
2195-VVRJF,18,59.1,Month-to-month,2,0.29,71.8,Add Protection Bundle; Upgrade to Annual Contract
0983-TATYJ,33,51.45,One year,1,0.32,71.8,Add Protection Bundle; Add Streaming Services
6603-YRDCJ,33,61.05,Two year,3,0.32,71.8,Add Streaming Services
0842-IWYCP,46,44.95,Month-to-month,0,0.24,71.8,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
6233-HXJMX,45,89.3,Month-to-month,2,26.52,71.8,Add Protection Bundle; Upgrade to Annual Contract; Add Tech Support
9828-QHFBK,24,51.15,Month-to-month,1,0.31,71.7,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
3451-VAWLI,35,19.7,Two year,0,0.22,71.7,Add Protection Bundle
8008-OTEZX,35,19.65,One year,0,0.19,71.7,Add Protection Bundle
0442-TDYUO,48,20.05,Two year,0,0.23,71.7,Add Protection Bundle
6137-MFAJN,48,44.8,Month-to-month,3,0.38,71.7,Upgrade to Annual Contract
2061-VVFST,37,19.5,Month-to-month,0,0.21,71.7,Add Protection Bundle; Upgrade to Annual Contract
5898-IGSLP,31,89.3,Month-to-month,3,10.61,71.7,Add Streaming Services; Upgrade to Annual Contract
5151-HQRDG,37,55.05,Month-to-month,1,10.81,71.7,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
4716-HHKQH,20,107.05,Month-to-month,4,7.54,71.7,Upgrade to Annual Contract
5787-KXGIY,72,19.3,Two year,0,0.18,71.6,Add Protection Bundle
9274-UARKJ,15,83.2,Month-to-month,2,0.5,71.6,Add Protection Bundle; Upgrade to Annual Contract
5575-GNVDE,34,56.95,One year,2,5.22,71.6,Add Protection Bundle; Add Streaming Services; Add Tech Support
4931-TRZWN,13,71.95,Month-to-month,3,0.56,71.6,Upgrade to Annual Contract
7803-XOCCZ,52,84.05,Month-to-month,3,0.26,71.6,Add Streaming Services; Upgrade to Annual Contract
6078-VESFR,13,70.45,Month-to-month,0,0.4,71.6,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
1955-IBMMB,59,20.2,Two year,0,0.23,71.6,Add Protection Bundle
1101-SSWAG,15,51.1,Month-to-month,0,0.45,71.6,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
5055-MGMGF,65,105.05,Month-to-month,4,17.5,71.5,Upgrade to Annual Contract
7872-BAAZR,53,19.55,One year,0,0.83,71.5,Add Protection Bundle; Add Tech Support
2996-XAUVF,70,40.05,Two year,2,2.46,71.5,Add Protection Bundle
1171-TYKUR,47,25.4,Month-to-month,0,0.27,71.5,Add Protection Bundle; Upgrade to Annual Contract
6502-KUGLL,14,59.45,Month-to-month,3,2.15,71.5,Add Streaming Services; Upgrade to Annual Contract
7799-LGRDP,43,25.7,Two year,0,0.26,71.5,Add Protection Bundle
1422-DGUBX,32,79.25,One year,1,5.91,71.4,Add Protection Bundle; Add Streaming Services
6917-FIJHC,72,26.0,Two year,0,1.51,71.4,Add Protection Bundle
8677-HDZEE,56,105.45,Month-to-month,4,11.47,71.4,Upgrade to Annual Contract
5324-KTGCG,71,20.85,One year,0,0.22,71.3,Add Protection Bundle
5243-SAOTC,54,79.85,Month-to-month,1,21.08,71.3,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract; Add Tech Support
3301-LSLWQ,29,66.1,Month-to-month,2,0.38,71.3,Add Protection Bundle; Upgrade to Annual Contract
3509-GWQGF,24,70.0,Month-to-month,0,18.27,71.3,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
4923-ADWXJ,25,65.8,Month-to-month,3,0.26,71.3,Upgrade to Annual Contract
7130-CTCUS,16,54.55,Month-to-month,2,0.29,71.2,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
5201-CBWYG,62,24.8,One year,0,0.16,71.2,Add Protection Bundle
3842-QTGDL,16,80.75,Month-to-month,2,0.25,71.2,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
5656-JAMLX,62,19.85,Two year,0,1.02,71.2,Add Protection Bundle; Add Tech Support
0727-BMPLR,55,100.0,One year,3,21.72,71.2,Add Tech Support
0265-PSUAE,16,100.7,Month-to-month,4,23.24,71.2,Upgrade to Annual Contract
1371-WEPDS,40,55.8,One year,1,2.96,71.2,Add Protection Bundle; Add Tech Support
9681-KYGYB,49,88.2,Month-to-month,3,20.31,71.2,Add Streaming Services; Upgrade to Annual Contract
5397-TUPSH,65,70.95,One year,0,4.72,71.2,Add Protection Bundle; Add Streaming Services; Add Tech Support
2703-AMTUL,36,53.65,One year,2,0.23,71.2,Add Protection Bundle; Add Streaming Services
1142-IHLOO,51,87.55,One year,2,0.27,71.2,Add Protection Bundle
4057-FKCZK,58,82.5,Two year,1,1.87,71.1,Add Protection Bundle
9013-AQORL,48,45.55,Month-to-month,3,0.27,71.1,Upgrade to Annual Contract
7175-NTIXE,25,76.15,Month-to-month,4,10.43,71.1,Upgrade to Annual Contract
9504-YAZWB,53,20.25,Two year,0,0.21,71.1,Add Protection Bundle
2027-WKXMW,63,108.75,Month-to-month,5,0.51,71.1,Upgrade to Annual Contract
5622-UEJFI,35,25.4,Two year,0,0.29,71.1,Add Protection Bundle
7073-QETQY,66,20.35,One year,0,0.2,71.1,Add Protection Bundle
5188-HGMLP,54,74.0,Month-to-month,0,0.82,71.0,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
8910-LEDAG,34,71.55,Month-to-month,0,0.72,71.0,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
0222-CNVPT,52,48.8,Month-to-month,3,0.29,71.0,Upgrade to Annual Contract
8728-SKJLR,41,74.25,Month-to-month,1,1.24,71.0,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
8165-ZJRNM,72,23.75,Two year,0,0.72,71.0,Add Protection Bundle; Add Tech Support
5844-QVTAT,33,58.45,One year,3,3.39,71.0,Add Streaming Services; Add Tech Support
5854-KSRBJ,70,25.4,Two year,0,0.17,71.0,Add Protection Bundle
7841-FCRQD,33,53.75,One year,2,0.36,71.0,Add Protection Bundle; Add Streaming Services
2509-TFPJU,72,25.75,Two year,0,0.15,71.0,Add Protection Bundle
9518-IMLHK,31,72.45,Month-to-month,5,10.88,70.9,Upgrade to Annual Contract
3312-UUMZW,32,98.85,Month-to-month,3,0.48,70.9,Upgrade to Annual Contract
9639-BUJXT,63,20.5,One year,0,1.13,70.9,Add Protection Bundle; Add Tech Support
1996-DBMUS,48,70.65,Month-to-month,0,22.6,70.9,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract; Add Tech Support
8957-THMOA,50,20.15,Two year,0,0.26,70.9,Add Protection Bundle
0979-MOZQI,62,39.0,Two year,2,1.73,70.8,Add Protection Bundle
9257-AZMTZ,52,20.1,Two year,0,0.22,70.8,Add Protection Bundle
2725-IWWBA,46,56.9,One year,3,0.2,70.8,Add Streaming Services
4808-YNLEU,35,62.15,One year,2,0.55,70.7,Add Protection Bundle
1036-GUDCL,60,79.05,Month-to-month,5,4.71,70.7,Upgrade to Annual Contract
9153-BTBVV,71,25.0,Two year,0,1.01,70.7,Add Protection Bundle
3097-IDVPU,19,50.1,Month-to-month,0,9.37,70.7,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract; Add Tech Support
9054-FOWNV,22,88.75,Month-to-month,2,0.41,70.7,Add Protection Bundle; Upgrade to Annual Contract
2896-TBNBE,40,80.8,One year,2,3.46,70.7,Add Protection Bundle; Add Streaming Services
0822-QGCXA,27,83.85,Month-to-month,5,0.32,70.7,Upgrade to Annual Contract
5227-JSCFE,71,46.35,Two year,4,0.19,70.7,Add Streaming Services
5076-YVXCM,51,83.4,Month-to-month,1,18.14,70.7,Add Protection Bundle; Upgrade to Annual Contract; Add Tech Support
7860-KSUGX,72,64.45,Two year,3,0.81,70.6,Add Streaming Services; Add Tech Support
3703-KBKZP,16,74.45,Month-to-month,0,0.54,70.6,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
4134-BSXLX,28,60.9,Month-to-month,3,0.2,70.6,Add Streaming Services; Upgrade to Annual Contract
4299-OPXEJ,56,19.55,Two year,0,1.22,70.6,Add Protection Bundle
7707-PYBBH,40,61.9,Month-to-month,3,6.0,70.6,Add Streaming Services; Upgrade to Annual Contract
4807-IZYOZ,51,20.65,Two year,0,0.22,70.6,Add Protection Bundle
8498-XXGWA,65,55.15,Month-to-month,2,4.27,70.5,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
3950-VPYJB,57,59.6,One year,3,1.16,70.5,Add Streaming Services
3088-FVYWK,53,25.55,Two year,0,0.66,70.5,Add Protection Bundle
8884-FEEWR,35,20.6,One year,0,0.24,70.5,Add Protection Bundle
3422-WJOYD,28,54.35,One year,2,0.23,70.4,Add Protection Bundle; Add Streaming Services
2933-XEUJM,46,79.2,Two year,4,6.24,70.4,Add Tech Support
7064-JHXCE,62,20.05,Two year,0,0.55,70.4,Add Protection Bundle
5150-LJNSR,31,98.05,One year,3,9.59,70.4,Add Tech Support
6000-UKLWI,41,20.15,Two year,0,0.23,70.4,Add Protection Bundle
7115-IRDHS,72,24.65,Two year,0,0.19,70.4,Add Protection Bundle
5439-WIKXB,41,94.55,Month-to-month,3,25.62,70.4,Upgrade to Annual Contract
1122-YJBCS,69,53.65,One year,2,0.26,70.4,Add Protection Bundle; Add Streaming Services
5605-XNWEN,72,25.0,Two year,0,0.21,70.4,Add Protection Bundle
2282-YGNOR,29,58.0,One year,3,1.54,70.3,Add Streaming Services
2582-FFFZR,22,50.6,Month-to-month,3,25.44,70.3,Upgrade to Annual Contract
1728-CXQBE,64,94.25,Month-to-month,3,15.58,70.3,Upgrade to Annual Contract; Add Tech Support
6986-IXNDM,14,92.9,Month-to-month,2,1.38,70.3,Add Protection Bundle; Upgrade to Annual Contract
6892-BOGQE,71,20.9,Two year,0,1.29,70.3,Add Protection Bundle
1904-WAJAA,24,64.35,Two year,3,0.35,70.3,Add Streaming Services
6509-TSGWN,37,26.45,Month-to-month,0,1.56,70.3,Add Protection Bundle; Upgrade to Annual Contract
8444-WRIDW,66,80.45,Month-to-month,1,21.75,70.3,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
1767-CJKBA,66,25.1,Two year,0,0.62,70.3,Add Protection Bundle
2985-FMWYF,23,93.5,Month-to-month,2,1.01,70.2,Add Protection Bundle; Upgrade to Annual Contract
0929-PECLO,63,89.6,Month-to-month,2,7.21,70.2,Add Protection Bundle; Upgrade to Annual Contract; Add Tech Support
0993-OSGPT,68,60.65,One year,3,2.29,70.2,Add Streaming Services
7108-DGVUU,21,71.7,One year,3,6.45,70.2,Add Tech Support
8540-ZQGEA,54,20.05,Two year,0,0.2,70.2,Add Protection Bundle
0239-OXEXL,46,84.25,Month-to-month,2,16.14,70.2,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
9481-IEBZY,72,112.9,Month-to-month,6,3.22,70.2,Upgrade to Annual Contract
9133-AYJZG,23,98.7,Month-to-month,3,1.38,70.2,Upgrade to Annual Contract
2937-FTHUR,18,64.8,Month-to-month,2,14.76,70.1,Add Protection Bundle; Upgrade to Annual Contract; Add Tech Support
3196-NVXLZ,25,84.6,Month-to-month,1,0.58,70.1,Add Protection Bundle; Upgrade to Annual Contract
8922-NPKBJ,42,19.35,Two year,0,0.18,70.1,Add Protection Bundle
5206-XZZQI,53,80.6,Month-to-month,2,9.09,70.1,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
4238-HFHSN,61,82.15,Month-to-month,1,15.8,70.1,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract; Add Tech Support
5995-LFTLE,58,25.3,Two year,0,1.66,70.1,Add Protection Bundle
0562-HKHML,71,23.9,Two year,0,0.62,70.1,Add Protection Bundle
0187-WZNAB,27,74.4,Month-to-month,1,4.43,70.1,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
0468-YRPXN,29,98.8,Month-to-month,4,0.41,70.1,Upgrade to Annual Contract
9365-SRSZE,27,70.55,Month-to-month,0,0.36,70.1,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
8042-RNLKO,66,25.45,One year,0,1.07,70.1,Add Protection Bundle; Add Tech Support
4277-UDIEF,24,81.0,Month-to-month,4,0.49,70.1,Upgrade to Annual Contract
2974-GGUXS,36,91.95,Month-to-month,2,20.54,70.1,Add Protection Bundle; Upgrade to Annual Contract; Add Tech Support
8229-BUJHX,71,20.5,Two year,0,0.18,70.1,Add Protection Bundle
5433-KYGHE,14,86.0,Month-to-month,2,0.26,70.1,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
1685-BQULA,40,93.4,Month-to-month,3,15.68,70.1,Upgrade to Annual Contract
9668-PUGNU,71,24.5,Two year,0,1.39,70.0,Add Protection Bundle; Add Tech Support
6557-BZXLQ,16,69.65,Month-to-month,0,0.39,70.0,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
0640-YJTPY,72,21.0,Two year,0,0.67,70.0,Add Protection Bundle; Add Tech Support
2068-WWXQZ,46,20.05,Two year,0,0.19,70.0,Add Protection Bundle
9626-VFRGG,41,88.5,Month-to-month,2,0.52,70.0,Add Protection Bundle; Upgrade to Annual Contract
3274-NSDWE,68,19.6,Two year,0,1.28,69.9,Add Protection Bundle; Add Tech Support
9308-ANMVE,47,55.3,Month-to-month,2,0.41,69.9,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
5472-CVMDX,68,38.9,Two year,3,1.09,69.9,Add Streaming Services
0699-NDKJM,57,58.75,Month-to-month,5,7.56,69.8,Upgrade to Annual Contract
3164-YAXFY,57,53.75,Month-to-month,4,7.99,69.8,Upgrade to Annual Contract
5414-OFQCB,57,90.45,Two year,2,3.73,69.8,Add Protection Bundle
6473-ULUHT,16,84.9,Month-to-month,5,7.19,69.8,Upgrade to Annual Contract
1403-GYAFU,70,20.05,Two year,0,0.21,69.8,Add Protection Bundle
6010-DDPPW,70,25.15,Two year,0,0.83,69.8,Add Protection Bundle
4115-UMJFQ,69,35.75,One year,2,0.4,69.8,Add Protection Bundle; Add Streaming Services
7799-DSEWS,18,68.35,Month-to-month,4,24.52,69.7,Upgrade to Annual Contract
5125-CNDSP,63,40.6,One year,3,0.17,69.7,Add Streaming Services
6217-TOWGS,17,75.4,Month-to-month,3,0.28,69.7,Upgrade to Annual Contract
2065-MMKGR,29,71.0,One year,2,0.76,69.7,Add Protection Bundle
3727-OWVYD,35,61.2,One year,3,1.92,69.7,Add Streaming Services
2107-FBPTK,30,104.1,Month-to-month,4,1.12,69.7,Upgrade to Annual Contract
8980-WQFWL,35,62.1,Month-to-month,2,13.7,69.7,Add Protection Bundle; Upgrade to Annual Contract
6288-LBEAR,23,79.1,Month-to-month,2,18.98,69.7,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
3261-CQXOL,71,25.45,Two year,0,0.19,69.7,Add Protection Bundle
7078-NVFAM,32,35.15,Month-to-month,2,0.32,69.7,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
9972-EWRJS,67,19.25,Two year,0,1.33,69.6,Add Protection Bundle
1555-HAPSU,71,23.9,Two year,0,0.69,69.6,Add Protection Bundle; Add Tech Support
2908-WGAXL,56,24.95,Two year,0,0.26,69.6,Add Protection Bundle
8958-JPTRR,56,24.3,One year,0,1.18,69.6,Add Protection Bundle; Add Tech Support
3374-PZLXD,34,19.7,Month-to-month,0,0.26,69.6,Add Protection Bundle; Upgrade to Annual Contract
8474-UMLNT,13,67.8,Month-to-month,4,2.59,69.6,Upgrade to Annual Contract
8285-ABVLB,70,19.85,Two year,0,0.17,69.6,Add Protection Bundle
8461-EFQYM,38,24.25,One year,0,0.36,69.6,Add Protection Bundle
9574-BOSMD,68,25.4,Two year,0,0.87,69.6,Add Protection Bundle; Add Tech Support
9560-BBZXK,36,31.05,Two year,1,0.27,69.6,Add Protection Bundle; Add Streaming Services
1550-EENBN,31,104.35,Month-to-month,4,0.77,69.6,Upgrade to Annual Contract
2586-CWXVV,54,30.4,Month-to-month,1,0.23,69.6,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
2178-PMGCJ,22,69.7,Month-to-month,0,19.1,69.5,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
0898-XCGTF,61,96.5,One year,2,7.64,69.5,Add Protection Bundle; Add Tech Support
7717-BICXI,60,20.55,Two year,0,0.2,69.5,Add Protection Bundle
5973-EJGDP,51,87.35,Month-to-month,3,16.39,69.5,Add Streaming Services; Upgrade to Annual Contract
0559-CKHUS,29,19.55,Two year,0,0.28,69.5,Add Protection Bundle
0788-DXBFY,58,19.55,One year,0,0.24,69.5,Add Protection Bundle
4220-TINQT,61,106.35,Month-to-month,4,25.15,69.5,Upgrade to Annual Contract
8496-DMZUK,30,90.4,One year,3,4.51,69.4,Add Streaming Services; Add Tech Support
8652-YHIYU,16,79.5,One year,1,0.34,69.4,Add Protection Bundle; Add Streaming Services
2786-GCDPI,50,104.95,Month-to-month,4,28.24,69.4,Upgrade to Annual Contract
2236-HILPA,62,20.65,Two year,0,0.66,69.4,Add Protection Bundle
8785-CJSHH,60,99.8,Month-to-month,3,0.39,69.3,Upgrade to Annual Contract
8679-LZBMD,44,90.65,One year,2,21.2,69.3,Add Protection Bundle; Add Tech Support
3154-HMWUU,60,20.5,Two year,0,1.58,69.3,Add Protection Bundle; Add Tech Support
2960-NKRSO,24,85.95,Month-to-month,3,0.33,69.3,Add Streaming Services; Upgrade to Annual Contract
4104-PVRPS,24,53.6,Month-to-month,2,0.22,69.3,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
8207-VVMYB,70,26.0,Two year,0,1.54,69.2,Add Protection Bundle
0756-MPZRL,46,33.7,One year,2,0.27,69.2,Add Protection Bundle; Add Streaming Services
3316-UWXUY,50,93.5,Month-to-month,4,7.1,69.2,Upgrade to Annual Contract
5671-RQRLP,70,75.65,Two year,0,6.12,69.2,Add Protection Bundle; Add Streaming Services
7010-BRBUU,72,24.1,Two year,0,0.14,69.2,Add Protection Bundle
8383-SGHJU,33,59.4,One year,2,1.77,69.2,Add Protection Bundle; Add Streaming Services
0526-SXDJP,72,42.1,Two year,3,0.21,69.2,Add Streaming Services
